query,count,average price,categories,eBay
16 gb memory card,171,$63.01 ,Computers and Peripherals,
8 ounce mason jars,33,$18.63 ,Home,
acoustic guitar clamp,77,$22.85 ,Music,
adidas fragance,96,$13.66 ,Fragrances,
adidas pants,80,$49.98 ,Men's Only Clothes and Accessories,
an extremely goofy movie,72,$10.59 ,"Toys, Games, Movies",
anime necklace,41,$24.87 ,Shoes,
apple iphone 32 gb otterbox,27,$142.75 ,Computers and Peripherals,
aqua shoes,139,$38.47 ,Mobile Devices,
aroma diffuser,144,$54.09 ,Consumer Appliances,
Assassinss Creed,148,$35.16 ,"Toys, Games, Movies",
aveeno shampoo,106,$11.62 ,Sports,
barbie,145,$29.13 ,"Toys, Games, Movies",
baseball cleats,91,$54.35 ,Mobile Devices,
baseball photo frame,132,$113.51 ,Home,
batman,165,$36.66 ,"Toys, Games, Movies",
beats headphones,100,$230.54 ,Computers and Peripherals,
bedspreads,178,$64.68 ,Home,
beer stein,81,$59.89 ,Home,
bike for children,140,$95.31 ,"Toys, Games, Movies",
bike lock,298,$31.71 ,Home,
Bird seed feeder,180,$32.00 ,Other,
blender,148,$93.78 ,Consumer Appliances,
blendtec,82,$400.58 ,Home,
blue mini fridge,74,$137.59 ,Consumer Appliances,
bluesky gel nail polish,58,$11.23 ,Sports,
bluetooth speaker,186,$56.16 ,Computers and Peripherals,
Bluray Hobbit extended,86,$42.33 ,"Toys, Games, Movies",
boyfriend jeans,106,$65.56 ,Bags,
Brett Favre NY Titans jersey blue,119,$52.84 ,Men's Only Clothes and Accessories,
bridal shower decorations,119,$30.74 ,Personal Care,
business badge holder,99,$20.46 ,Home,
button down shirt,145,$68.65 ,Men's Only Clothes and Accessories,
candle chandelier,177,$354.54 ,Home,
candle holders,119,$49.58 ,Home,
candle lantern,146,$37.97 ,Home,
car jump starter,87,$108.66 ,Automobile and Accessories,
car window sticker,114,$16.22 ,Automobile and Accessories,
cargo shorts,138,$43.87 ,Men's Only Clothes and Accessories,
cast iron skillet,171,$41.72 ,Home,
cat grass,98,$14.11 ,Other,
chocolate molds,120,$37.29 ,Home,
cleaning robot,160,$417.39 ,Consumer Appliances,
Cocoa Butter,149,$13.64 ,Sports,
coffee cup,128,$66.28 ,Home,
coffee for nespresso,162,$119.20 ,Coffee,
coffee grinder,173,$89.92 ,Home,
converse high tops,104,$45.65 ,Mobile Devices,
converse low top,94,$56.11 ,Mobile Devices,
cowboy boots,137,$195.69 ,Mobile Devices,
crocs,129,$55.96 ,Mobile Devices,
cross strap backpack,107,$83.62 ,Accessories,
cuisinart coffee maker,160,$83.69 ,Consumer Appliances,
Dc shoes black,126,$54.72 ,Mobile Devices,
dean guitar,177,$337.73 ,Music,
decorative pillows,95,$26.78 ,Home,
deep fryers,39,$54.03 ,Consumer Appliances,
digital camera,189,$700.92 ,Cameras,
dish towels,144,$36.90 ,Home,
dollhouse bathtub,20,$37.60 ,"Toys, Games, Movies",
Donut Shoppe K Cups,39,$18.35 ,Home,
double stroller,169,$244.91 ,Babies,
dr who lanyard,77,$8.25 ,"Toys, Games, Movies",
drawer organizer,146,$34.74 ,Home,
dress shirts,148,$60.21 ,Men's Only Clothes and Accessories,
dresses for women,111,$47.72 ,Bags,
dual headset splitter,78,$5.86 ,Computers and Peripherals,
duck dynasty,178,$15.13 ,"Toys, Games, Movies",
duffle bag,142,$97.89 ,Accessories,
ecco shoes,100,$113.36 ,Mobile Devices,
electric blanket,113,$85.17 ,Consumer Appliances,
electric griddle,164,$341.02 ,Consumer Appliances,
extenal hardisk 500 gb,108,$97.58 ,Computers and Peripherals,
eye cream,197,$42.62 ,Sports,
face cream,196,$36.06 ,Sports,
fifa 15,25,$84.35 ,"Toys, Games, Movies",
fitbit charge,88,$105.73 ,Computers and Peripherals,
flannel sheets,116,$40.74 ,Home,
flea and tick control for dogs,162,$32.55 ,Personal Care,
flower bulbs,135,$92.82 ,Other,
fuji bike shirt,39,$39.82 ,Men's Only Clothes and Accessories,
full tang knife,199,$29.40 ,Home,
galaxy note 3,166,$128.42 ,Babies,
girls halloween costumes,130,$35.01 ,Bags,
glass marbles,79,$246.06 ,Home,
glitter vials,47,$13.92 ,Personal Care,
gold dress,153,$140.71 ,Bags,
gold toe socks,137,$38.42 ,Shoes,
golf clubs,149,$132.53 ,Clothes,
golf shoes,83,$81.02 ,Mobile Devices,
green bay packers,145,$55.88 ,Clothes,
green laser pointer,91,$245.60 ,Light Source Industry,
gucci guilty intense women,93,$48.54 ,Fragrances,
gym gloves,108,$24.40 ,Clothes,
hair accessories,132,$15.30 ,Shoes,
